,nCounts,nFeatures
BC0667_N01,19930,7570
BC0668_N01,19130,7441
BC0669_N01,20153,7483
BC0670_N02,35084,9142
BC0671_N02,36707,9382
BC0672_N01,17106,6911
BC0673_N01,19876,7715
BC0675_N02,31452,7824
BC0676_N01,19626,7753
BC0677_N01,20199,7880
BC0678_N04,59507,10425
BC0680_N01,20189,7535
BC0681_N03,42323,8872
BC0682_N01,19217,7622
BC0683_N02,35393,8901
BC0684_N03,38868,9501
BC0685_N01,19318,7763
BC0686_N02,34736,8891
BC0687_N02,31648,8480
BC0688_N01,17703,6895
BC0689_N03,39634,8978
BC0690_N02,31170,8446
BC0691_N01,18500,7256
BC0692_N02,35167,8731
BC0693_N02,30176,7749
BC0694_N02,35649,8826
BC0695_N02,35980,8329
BC0696_N02,30146,6941
BC0698_N01,18260,7130
BC0699_N02,33054,8683
BC0700_N01,20167,7741
BC0703_N02,37313,8986
BC0704_N02,35936,8858
BC0705_N01,17304,6996
BC0706_N02,28910,7628
BC0707_N02,34914,8869
BC0708_N02,33263,9411
BC0709_N01,19337,7377
BC0710_N02,30933,8463
BC0711_N01,19055,7365
BC0712_N02,35617,8669
BC0714_N02,35714,8787
BC0715_N02,38173,9234
BC0716_N02,33072,8566
BC0717_N05,57518,9504
BC0718_N01,18358,7320
BC0719_N02,34403,9181
BC0720_N02,25469,7507
BC0722_N02,34025,8604
BC0723_N02,31177,7939
BC0724_N02,30955,7695
BC0725_N01,17167,6740
BC0726_N02,27519,7885
BC0727_N04,58082,9922
BC0728_N01,18102,6863
BC0729_N02,24037,7949
BC0730_N01,19534,7387
BC0731_N03,42671,7951
BC0732_N02,35853,8889
BC0733_N01,18042,7162
BC0734_N01,18526,7108
BC0735_N01,17810,6995
BC0736_N02,35740,8652
BC0737_N02,29630,8195
BC0738_N02,36268,8600
BC0740_N01,19370,7342
BC0741_N02,27256,7358
BC0742_N04,66824,10446
BC0743_N09,112767,11836
BC0744_N01,18799,7481
BC0745_N02,25534,8106
BC0746_N01,19123,7321
BC0747_N01,17110,6716
BC0748_N01,18405,7168
BC0751_N01,18693,7144
BC0753_N03,38291,8455
BC0755_N03,42991,8833
BC0757_N01,17560,7240
BC0758_N02,35197,9085
BC0759_N01,17722,6769
BC0760_N01,16428,6619
BC0761_N01,17811,7267
BC0762_N03,33575,8095
BC0765_N01,18803,7207
BC0766_N01,16515,6628
BC0767_N05,66852,9951
BC0768_N02,30604,7742
BC0769_N01,19320,7220
BC0770_N04,40758,6948
BC0772_N01,15964,6525
BC0773_N03,45916,10144
BC0774_N01,16035,6537
BC0775_N01,17604,6849
BC0776_N01,16143,6321
BC0777_N01,17489,7082
BC0778_N02,28935,8019
BC0779_N01,19327,7334
BC0780_N01,17225,6786
BC0781_N03,41097,8688
BC0782_N02,29976,8037
BC0784_N02,31007,8317
BC0785_N01,16046,6349
BC0786_N02,32456,8554
BC0787_N02,30213,8060
BC0789_N05,51444,8815
BC0790_N01,796,427
BC0792_N02,27917,7242
BC0793_N01,18324,6929
BC0795_N01,19619,7278
BC0797_N04,61621,10195
BC0799_N03,40277,10447
BC0800_N01,17377,6859
BC0802_N03,38653,8625
BC0803_N01,15633,6351
BC0804_N01,18281,7322
BC0805_N02,30600,8359
BC0806_N01,18748,7465
BC0808_N02,29079,7650
BC0809_N02,38956,8245
BC0810_N01,15761,6400
BC0811_N03,50949,9532
BC0812_N01,18179,7076
BC0813_N01,17907,7190
BC0814_N01,18606,7094
BC0816_N02,31553,8107
BC0818_N01,17291,6746
BC0819_N01,16536,6584
BC0821_N04,51640,8851
BC0822_N01,19807,7549
BC0823_N01,15542,6298
BC0824_N03,42150,8995
BC0825_N01,16801,6852
BC0827_N01,18560,7073
BC0829_N02,34481,8305
BC0832_N01,15918,6229
BC0833_N05,60749,9359
BC0834_N01,16434,6592
BC0835_N03,40942,8377
BC0837_N02,34031,8219
BC0838_N02,27039,7968
BC0839_N02,32752,8406
BC0840_N02,27563,7674
BC0841_N01,17069,6617
BC0842_N01,17867,6867
BC0847_N01,15528,6323
BC0848_N02,29174,7641
BC0849_N02,34800,8834
BC0850_N01,18063,6913
BC0851_N02,34784,8564
BC0852_N01,17930,6698
BC0853_N01,16645,6604
BC0854_N01,18137,6798
BC0855_N01,17859,7245
BC0857_N02,29644,7722
BC0858_N02,30250,7132
BC0859_N01,17533,7192
BC0861_N03,40751,8190
BC0862_N02,36369,8775
BC0863_N01,17902,7131
BC0864_N01,16753,6807
BC0865_N02,27916,7300
BC0866_N02,35315,8614
BC0868_N03,49906,9826
