,nCounts,nFeatures
BC02957_N02,4898,2056
BC01067_N03,2593,1267
BC01066_N03,4723,2051
BC00562_N03,5038,2367
BC00835_N02,4928,2184
BC00187_N04,11145,3794
BC02492_N07,3197,1611
BC00891_N06,5251,2131
BC00110_N02,3523,1670
BC00263_N03,28850,5020
BC01061_N04,5424,2120
BC01128_N01,2428,1390
BC02121_N04,2187,1262
BC01060_N03,2368,1276
BC01058_N05,4573,1881
BC01552_N05,5334,2264
BC04034_N01,1635,999
BC02705_N02,5884,2286
BC01055_N06,5936,2467
BC01907_N02,707,543
BC01716_N04,3603,1791
BC01264_N01,3706,1947
BC00148_N02,5592,2445
BC00095_N04,2572,1407
BC00634_N03,5407,2088
BC01705_N06,4401,1930
BC00479_N02,2704,1439
BC00321_N02,6151,2386
BC01493_N02,4671,1963
BC02651_N01,3643,1566
BC01053_N05,5125,2212
BC00168_N04,3482,1758
BC01052_N03,4041,1841
BC01717_N02,1591,1030
BC01151_N01,4032,1813
BC01048_N02,3142,1727
BC01088_N02,1645,1031
BC00597_N04,4150,1827
BC01230_N01,2006,1127
BC01653_N10,4026,1918
BC01071_N01,370,284
BC01045_N01,2376,1277
BC03227_N01,1021,693
BC01039_N03,4449,1907
BC02322_N02,4254,1883
BC01089_N03,2674,1418
BC02672_N04,3345,1925
BC01037_N02,1804,972
BC01036_N03,5034,2227
BC00060_N03,11787,3884
BC01035_N02,3702,1286
BC01054_N02,4018,1971
BC01033_N02,4268,1931
BC01031_N03,4509,2001
BC00656_N06,7836,3141
BC01523_N02,2335,1342
BC00058_N02,4196,1863
BC01893_N04,3418,1779
BC02480_N02,2113,1303
BC01974_N02,3108,1522
BC01029_N03,1020,705
BC01025_N05,3392,1615
BC01024_N02,4542,1982
BC00711_N02,1527,901
BC01022_N01,1704,888
BC02332_N02,2893,1474
BC00748_N03,6142,2555
BC01841_N02,1426,890
BC00085_N02,1450,842
BC02345_N02,1504,903
BC01589_N05,3813,1764
BC00211_N02,8322,3101
BC00423_N04,6354,2622
BC02497_N05,3495,1645
BC01222_N03,3362,1798
BC00988_N02,2122,1211
BC01011_N03,2954,1397
BC01957_N04,3498,1721
BC02550_N02,2732,1554
BC01007_N03,2328,1294
BC01005_N03,3117,1656
BC02098_N06,6466,2332
BC01004_N01,2575,1445
BC01003_N01,1214,798
BC00805_N05,4111,1850
BC01990_N04,9165,3232
BC01000_N03,3038,1493
BC00999_N03,4065,1927
BC02334_N07,2692,1474
BC00483_N04,4408,1990
BC02033_N02,3574,1721
BC00997_N03,5525,2262
BC00992_N02,1280,830
BC00995_N02,1504,963
BC00456_N04,4711,1995
BC01538_N02,5261,2200
BC00993_N03,4507,2273
BC02433_N02,2904,1410
BC00511_N01,3681,1701
BC01136_N04,4772,2037
BC01620_N06,3571,1723
BC00987_N01,3151,1644
BC02482_N05,3395,1744
BC00631_N02,3361,1623
BC00984_N02,2536,1451
BC01144_N01,1075,669
BC00982_N02,441,371
BC01834_N04,4825,2190
BC00979_N03,4962,2026
BC02024_N02,4802,2033
BC02942_N04,3404,1579
BC00476_N03,5138,2153
BC00978_N02,2283,1215
BC00977_N04,9327,3116
BC02879_N01,3423,1564
BC00976_N01,1535,970
BC01030_N03,2707,1351
BC00973_N05,4349,1661
BC00397_N06,24416,4750
BC00434_N02,6841,2642
BC02165_N04,6301,2195
BC00972_N05,5620,2220
BC01686_N01,1362,878
BC00971_N02,1866,1044
BC01455_N01,4201,2044
BC00969_N01,3060,1684
BC00968_N05,9417,2953
BC00217_N01,520,376
BC00966_N01,1650,1057
BC01347_N06,4115,1846
BC00965_N01,1484,958
BC00963_N02,4329,1877
BC00962_N02,3780,1765
