,nCounts,nFeatures
BC03016_N02,3113,1790
BC03014_N04,3065,1812
BC03011_N01,1187,854
BC03010_N03,2690,1598
BC03009_N03,2463,1467
BC03007_N02,1920,1319
BC03006_N02,3605,2214
BC03002_N03,2678,1588
BC03000_N05,2942,1868
BC02999_N02,3444,1911
BC02998_N01,2459,1504
BC02997_N04,4121,2198
BC02996_N01,1417,975
BC02994_N02,2395,1346
BC02993_N02,2301,1318
BC02992_N06,2258,1279
BC02991_N03,1000,710
BC02989_N02,2623,1553
BC02988_N02,3148,1934
BC00930_N03,3416,2023
BC03595_N01,1857,1290
BC03171_N01,2305,1518
BC02838_N01,1904,1150
BC01569_N01,5769,3009
BC01565_N06,6790,2918
BC02623_N02,1470,1046
BC01564_N01,2336,1418
BC02275_N01,1354,973
BC03290_N02,1717,1130
BC00646_N04,5120,2616
BC01220_N06,10317,4045
BC02677_N03,3016,1687
BC02886_N03,2573,1501
BC01539_N01,1716,1144
BC02541_N04,3844,1973
BC01529_N01,4746,2316
BC02159_N03,6044,2840
BC02215_N05,2105,1305
BC01513_N03,2346,1539
BC03476_N02,1821,1233
BC02608_N02,1405,995
BC03329_N02,1234,918
BC03316_N02,2637,1655
BC01503_N03,7858,3046
BC00614_N03,2749,1658
BC01502_N05,6030,2836
BC02446_N03,7098,3135
BC02241_N01,1557,1039
BC01494_N04,2321,1435
BC02425_N05,2492,1538
BC03583_N01,1427,941
BC01488_N03,3693,1913
BC01864_N02,836,672
BC00680_N05,6192,2927
BC01470_N01,4368,2128
BC01469_N03,5427,2519
BC01787_N04,5119,2729
BC02349_N06,4678,2417
BC02624_N04,3579,2146
BC01465_N01,1168,789
BC02356_N07,4348,2193
BC03761_N02,3706,2213
BC02422_N01,570,452
BC01460_N04,3697,1907
BC01757_N04,1304,924
BC02835_N05,3858,2104
BC01454_N04,4611,2307
BC02343_N02,2771,1700
BC02944_N05,3312,1772
BC01439_N03,4288,2180
BC04088_N01,344,308
BC01434_N05,3413,1919
BC01431_N04,6832,3111
BC02490_N01,932,697
BC02539_N01,1983,1298
BC02962_N01,806,590
BC01417_N04,5891,2794
BC00747_N04,4054,2424
BC02216_N03,7695,3256
BC01415_N01,399,335
BC01411_N04,790,649
BC01882_N05,3799,2043
BC01406_N03,4224,2155
BC01835_N03,4324,2250
BC01404_N08,3968,2344
BC00498_N02,2148,1305
BC01736_N07,3515,1913
BC02256_N06,5554,2559
BC02469_N02,4839,2277
BC01399_N05,1024,774
BC01398_N03,3221,1711
BC01440_N01,1545,1127
BC01598_N05,7227,2856
BC01395_N02,2511,1576
BC01394_N04,3055,1871
BC01628_N03,2709,1727
BC02788_N04,2864,1640
BC01391_N01,1732,1201
BC01536_N01,2909,1880
BC01837_N05,7184,3214
BC03819_N02,1236,942
BC01390_N04,2315,1423
BC01389_N02,1863,1295
BC02017_N02,3542,2005
BC01383_N02,1617,1203
BC02440_N07,2643,1555
BC01474_N01,9753,3567
BC01621_N03,2566,1693
BC01373_N01,1533,1047
BC01105_N02,2483,1552
BC01369_N03,3209,1773
BC03076_N02,555,458
BC01888_N01,3488,2028
BC02753_N03,1720,1158
BC02827_N02,2970,1566
BC01365_N03,7966,3541
BC02754_N03,2577,1467
BC03484_N02,1796,1198
BC01358_N03,3946,2236
BC02232_N04,2849,1781
BC02654_N06,8820,4039
BC00960_N02,3319,1953
BC01450_N01,1542,1037
BC00008_N01,6820,3172
BC03276_N01,1470,1074
BC03572_N02,1739,1177
BC01091_N03,5740,2626
BC01338_N03,8049,3652
BC02556_N05,4543,2338
BC02590_N03,3179,1712
BC01336_N03,4138,2109
BC01335_N03,2854,1648
BC02618_N04,2543,1490
BC00785_N03,7214,3123
BC02421_N02,2579,1495
BC00574_N01,1946,1295
BC03754_N01,863,704
BC02207_N02,2587,1655
BC01318_N02,5132,2584
BC01317_N04,3046,1735
BC01315_N02,7469,3229
BC00877_N01,3339,1747
BC01303_N03,9443,3737
BC01313_N03,7785,3226
BC02566_N03,4241,2295
BC01307_N02,3137,1756
BC01305_N04,3567,1962
BC00012_N01,1330,1156
BC01673_N03,2706,1495
BC02729_N02,4288,2169
BC01753_N03,4395,2080
BC02951_N02,617,506
BC02927_N05,3508,2017
BC01292_N02,3985,2071
BC03485_N02,1816,1192
BC01288_N01,3989,2155
BC00888_N01,4553,2157
BC01409_N04,3091,1825
BC01833_N03,6830,3050
BC02595_N02,1202,838
BC02880_N01,3747,1985
BC02558_N04,4819,2614
BC01279_N01,3606,1842
BC02091_N09,7011,3297
BC01276_N02,5503,2522
BC01500_N02,1973,1348
BC01273_N03,3935,1989
BC02559_N04,4317,2179
BC02882_N06,2861,1762
BC01268_N02,3915,2054
BC01265_N04,4509,2209
BC02235_N04,4905,2867
BC01257_N01,1895,1230
BC01254_N03,2592,1682
BC02058_N02,1264,873
BC01926_N06,7356,3054
BC01920_N04,4828,2582
BC01247_N02,2675,1572
BC01962_N02,1584,1057
BC01938_N08,7789,3593
BC01047_N03,4883,2492
BC02698_N02,2673,1595
BC01283_N01,2214,1400
BC01240_N01,2047,1282
BC01234_N01,3739,1926
BC01701_N02,1826,1094
BC01227_N02,5262,2361
BC01226_N04,5672,2632
BC01272_N01,1546,1045
BC00868_N01,3043,1598
BC02065_N03,3835,2091
BC02688_N05,3587,1935
BC02972_N02,1306,976
BC02419_N04,6690,3012
BC01321_N05,4432,2454
BC03723_N01,1015,707
BC01316_N03,3303,1840
BC01214_N02,4432,2226
BC02377_N02,2459,1600
BC01209_N01,3131,1805
