,nCounts,nFeatures
BC1867_N01,7328,2998
BC1868_N01,9072,3708
BC1871_N01,7324,3150
BC1873_N05,24823,4819
BC1874_N03,18085,4157
BC1880_N01,9404,3719
BC1881_N01,7676,3274
BC1882_N02,13409,3909
BC1885_N02,18649,4860
BC1889_N02,14587,4015
BC1890_N01,6350,2753
BC1891_N01,6074,2697
BC1896_N01,7072,3033
BC1898_N02,12642,3724
BC1899_N02,12234,3472
BC1901_N02,11924,3611
BC1904_N01,7894,3322
BC1905_N01,8474,3454
BC1908_N03,23654,4756
BC1909_N01,9062,3678
BC1910_N03,17945,4238
BC1911_N01,6715,2984
BC1914_N02,12517,3912
BC1915_N02,10927,3323
BC1918_N02,11230,3595
BC1922_N01,7816,3254
BC1923_N03,18231,4298
BC1924_N01,7029,2922
BC1925_N02,15557,4272
BC1929_N02,12707,3886
BC1930_N02,14952,4280
BC1931_N02,12392,3637
BC1934_N01,7747,3137
BC1935_N03,14890,3901
BC1936_N02,13325,3948
BC1938_N04,20269,4480
BC1939_N02,12059,3447
BC1942_N03,15645,3809
BC1943_N01,8575,3473
BC1946_N03,18461,4276
BC1947_N01,7066,3065
BC1949_N02,17049,4573
BC1950_N03,19577,4386
BC1953_N02,11995,3634
BC1955_N02,8685,2692
BC1956_N02,11719,3572
BC1957_N01,7183,3009
BC1960_N01,6946,2988
BC1961_N01,8636,3501
BC1965_N01,6518,2874
BC1967_N02,13778,4030
BC1968_N02,14371,3976
BC1970_N02,12868,3720
BC1971_N01,7869,3281
BC1975_N05,22667,3912
BC1977_N01,7583,3172
BC1979_N02,13086,3687
BC1981_N02,12788,3799
BC1984_N02,9919,3342
BC1988_N01,7868,3223
BC1990_N01,7450,3149
BC1991_N03,16596,3979
BC1992_N01,7732,3160
BC1993_N01,6399,2815
BC1995_N02,12688,3725
BC1996_N01,7390,3108
BC2000_N02,13548,3928
BC2004_N01,7545,3180
BC2005_N03,15131,3900
BC2009_N02,11349,3306
BC2010_N02,14576,4177
BC2011_N03,17575,4568
BC2016_N02,14035,4138
BC2017_N02,12616,3635
BC2018_N01,7741,3131
BC2020_N01,9015,3693
BC2022_N02,10421,3320
BC2024_N02,10829,3176
BC2025_N02,12036,3614
BC2027_N04,19147,4100
BC2033_N06,37949,6013
BC2034_N04,17036,4013
BC2036_N01,6717,2921
BC2037_N01,7151,3120
BC2038_N01,6107,2727
BC2040_N03,19462,4270
BC2041_N01,8155,3380
BC2042_N01,6955,3038
BC2043_N01,7136,3054
BC2054_N01,6670,2840
BC2055_N01,6184,2751
BC2056_N02,12419,3610
BC2058_N03,14044,3532
BC2060_N02,10481,3129
BC2061_N01,6540,2845
BC2062_N02,13112,3674
BC2064_N02,13191,3650
BC2065_N01,6530,2699
BC2067_N01,8053,3267
BC2068_N04,21813,4252
BC2069_N02,11913,3591
BC2074_N01,6901,2877
BC2075_N02,10092,3358
BC2076_N01,7041,3030
BC2077_N02,12037,3552
BC2078_N03,17579,4431
BC2079_N01,6908,2971
BC2080_N01,5822,2605
BC2081_N01,6671,2784
BC2082_N02,8790,2881
BC2084_N01,6652,2884
BC2086_N02,10179,3227
BC2087_N01,6960,3007
BC2088_N02,11015,3404
BC2090_N01,5094,2372
BC2094_N03,17134,4082
BC2095_N02,12482,3750
BC2097_N02,9391,2805
BC2098_N01,7195,3068
BC2100_N01,8148,3391
BC2101_N03,17848,4093
BC2102_N01,7060,3028
BC2106_N02,10235,3441
BC2107_N01,6172,2734
BC2108_N02,11547,3390
BC2109_N01,6640,2929
BC2111_N02,10138,3422
BC2114_N01,7750,3179
BC2119_N02,14964,3908
BC2120_N02,11781,3804
BC2121_N02,12571,3746
BC2123_N02,10806,3358
BC2125_N04,22454,5025
BC2126_N02,12646,3751
BC2127_N02,11114,3360
BC2129_N01,6600,2889
BC2130_N02,11362,3641
BC2132_N01,7866,3228
BC2133_N03,14808,3516
BC2136_N02,10761,3271
BC2138_N01,7021,3052
BC2140_N01,7360,3140
BC2141_N01,8742,3500
BC2142_N01,7107,2897
BC2143_N01,7450,3189
BC2144_N02,11321,3383
BC2148_N02,10387,3062
BC2149_N01,6075,2742
BC2150_N06,28483,4679
BC2151_N02,10803,3521
BC2152_N03,12065,3468
BC2154_N01,6202,2731
BC2159_N02,10316,3216
BC2160_N01,6616,2893
BC2161_N01,7254,3056
BC2162_N03,14297,3562
BC2163_N01,6519,2856
BC2164_N02,11711,3728
BC2165_N01,6678,2858
BC2166_N04,17944,3715
BC2167_N01,6647,2775
BC2168_N02,12506,3613
BC2169_N01,6552,2894
BC2170_N02,12974,3563
BC2171_N02,10603,3279
BC2172_N04,22046,4510
BC2173_N02,12151,3928
BC2177_N01,6655,2924
BC2178_N02,13043,3659
BC2179_N01,6066,2656
BC2180_N03,18498,4020
BC2190_N01,7936,3361
BC2191_N02,12058,3700
BC2192_N03,13340,3637
BC2194_N04,16319,3516
BC2195_N01,5887,2617
BC2200_N02,10853,3313
BC2201_N02,9547,2994
BC2203_N01,6230,2724
BC2204_N04,20475,4053
BC2205_N02,11305,3418
BC2206_N02,10778,3309
BC2207_N02,15205,4031
BC2208_N02,11221,3394
BC2209_N02,9655,3167
BC2212_N03,17113,3929
BC2214_N03,16104,3794
BC2215_N01,7036,2979
BC2216_N03,18964,4487
BC2217_N01,8716,3525
BC2220_N02,11621,3581
BC2221_N01,6291,2850
BC2222_N01,6609,2845
BC2223_N01,6493,2828
BC2226_N02,10995,3572
BC2227_N01,5924,2540
BC2229_N02,12306,3650
BC2230_N02,11582,3537
BC2232_N01,6633,2882
BC2233_N02,11926,3547
BC2234_N01,7264,3020
BC2235_N02,10558,3191
BC2237_N01,7787,3263
BC2238_N02,11824,3613
BC2239_N01,7323,2989
BC2241_N01,6228,2745
BC2243_N03,18214,4572
BC2245_N03,15830,3887
BC2246_N01,6123,2719
BC2251_N03,18957,3888
BC2254_N01,6427,2668
BC2255_N01,5870,2543
BC2256_N03,17468,4332
BC2259_N01,5819,2622
BC2260_N03,16493,3813
BC2262_N02,11365,3434
BC2263_N01,6261,2805
BC2264_N03,12201,3131
BC2265_N01,6239,2626
BC2268_N01,7197,3057
BC2269_N03,18171,4008
BC2271_N01,6549,2832
BC2272_N03,14506,3494
BC2273_N01,5639,2544
BC2275_N01,5666,2569
BC2277_N02,13630,4062
BC2278_N01,6862,2857
BC2279_N01,5931,2579
BC2280_N01,6452,2769
BC2282_N01,6669,2893
BC2283_N01,6036,2697
BC2284_N03,13537,3433
BC2286_N05,21741,4014
BC2288_N03,11288,3073
BC2289_N01,5275,2375
BC2291_N01,6149,2642
BC2292_N02,11690,3473
BC2293_N03,14191,3483
BC2294_N03,14691,3317
BC2295_N01,5713,2584
BC2296_N01,5379,2415
BC2298_N02,9631,2925
BC2300_N01,5718,2528
BC2302_N04,19392,3744
BC2303_N02,10356,3231
BC2304_N01,6198,2711
BC2305_N01,6021,2653
